mouse_speed_avg,mouse_speed_std,click_interval_avg,key_interval_avg,event_count,webdriver_flag,scroll_speed_avg,scroll_speed_std,nav_count,nav_unique_ratio,nav_avg_dwell,device_change,fingerprint_shift,content_mismatch,label
0.64,0.24,488,186,92,0,0.37,0.20,7,0.88,23240,0,0,0,0
0.52,0.18,410,152,74,0,0.44,0.17,6,0.79,25110,0,0,0,0
0.70,0.21,520,200,98,0,0.35,0.19,8,0.85,21980,0,0,0,0
0.58,0.16,380,140,68,0,0.46,0.22,5,0.76,26800,0,0,0,0
0.61,0.27,460,175,83,1,0.39,0.21,9,0.91,24410,0,0,0,0
0.04,0.02,58,34,12,1,0.06,0.02,2,0.20,1400,1,1,1,1
0.06,0.03,44,28,9,1,0.04,0.01,1,0.18,1100,1,1,1,1
0.05,0.02,52,32,15,1,0.05,0.02,2,0.22,1600,1,1,1,1
0.03,0.01,40,26,7,1,0.06,0.02,1,0.15,900,1,1,1,1
0.07,0.02,48,30,11,0,0.05,0.02,2,0.25,1700,1,1,1,1
